"gender","spend_educ"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Male","Too much"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","About right"
"Male","About right"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too much"
"Male","About right"
"Female","Too little"
"Female","About right"
"Male","Too much"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too much"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too much"
"Female","About right"
"Female","Too little"
"Male","About right"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Male","About right"
"Male","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","About right"
"Female","About right"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Male","About right"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","Too much"
"Male","Too much"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too much"
"Male","Too little"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","About right"
"Male","About right"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too much"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too much"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Female","About right"
"Female","About right"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","Too little"
"Male","About right"
"Female","Too much"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","About right"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Female","About right"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Male","Too much"
"Female","Too much"
"Female","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too much"
"Female","Too much"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Female","About right"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Male","Too much"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too much"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","Too much"
"Male","About right"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Male","Too little"
"Female","Too little"
"Male","Too little"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Female","Too much"
"Female","About right"
"Male","About right"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Male","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","Too little"
"Female","About right"
"Male","About right"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Male","Too little"
"Female","Too little"
"Female","About right"
"Female","Too little"
"Male","Too much"
"Female","Too little"
"Female","Too little"
"Male","About right"
"Female","About right"
"Female","Too little"
"Male","Too little"
"Male","About right"
"Male","Too little"
"Male","About right"
"Female","Too little"
"Male","Too little"
